of|IO|The color of the car is red.|(генитив)|Цвет автомобиля красный.
rooster|NN1|The rooster crowed loudly.|петух|Петух громко кукарекал.
victorious|JJ|The victorious team celebrated.|победоносный|Победоносная команда праздновала.
stiffen|VV0|He will stiffen his resolve.|укреплять|Он укрепит свою решимость.
theorize|VV0|They theorize about the cause.|теоретизировать|Они теоретизируют о причине.
parade|VV0|They will parade through town.|шествовать|Они будут шествовать по городу.
crony|NN1|His crony was untrustworthy.|прихвостень|Его прихвостень был ненадежен.
all-american|JJ|The all-American athlete won.|типично американский|Типично американский атлет победил.
default|VV0|They will default on the loan.|не выполнять|Они не выполнят условия кредита.
birdie|NN1|The birdie flew away.|птичка|Птичка улетела.
tendon|NN1|The tendon snapped.|сухожилие|Сухожилие лопнуло.
reconnect|VV0|They will reconnect tomorrow.|восстановить связь|Они восстановят связь завтра.
caricature|NN1|The caricature was funny.|карикатура|Карикатура была смешной.
resurgence|NN1|The resurgence was surprising.|возрождение|Возрождение было неожиданным.
plugin|NN1|Install the plugin today.|плагин|Установите плагин сегодня.
wink|NN1|He gave a wink.|подмигивание|Он подмигнул.
digest|NN1|The digest was informative.|дайджест|Дайджест был информативным.
ploy|NN1|The ploy was uncovered.|уловка|Уловка была раскрыта.
destabilize|VV0|They seek to destabilize the region.|дестабилизировать|Они стремятся дестабилизировать регион.
overreact|VV0|He might overreact to the news.|переоценивать|Он может переоценить новости.
swell|NN1|The swell was huge.|волна|Волна была огромной.
stairwell|NN1|The stairwell was dark.|лестничный пролет|Лестничный пролет был темным.
