Der Hund ist groß.|The dog is big.
Der Süden ist warm.|The south is warm.
Das Wetter ist super.|The weather is great.
Die Lage ist ökonomisch.|The situation is economic.
Die Erzählung ist spannend.|The story is thrilling.
Die Initiative ist gut.|The initiative is good.
Das Flugzeug landet.|The airplane lands.
DNA ist wichtig.|DNA is important.
Die Flüssigkeit ist klar.|The liquid is clear.
Der Geburtstag ist heute.|The birthday is today.
Das Kleid ist rot.|The dress is red.
Die Abgabe ist zeitlich.|The submission is in time.
Der Ball ist rund.|The ball is round.
Die Brust tut weh.|The chest hurts.
Das Gerät ist elektronisch.|The device is electronic.
Er verabschiedet sich.|He says goodbye.
Er drückt seine Meinung aus.|He expresses his opinion.
Das Detail ist wichtig.|The detail is important.
Die Regierung ist demokratisch.|The government is democratic.
Die Variable ändert sich.|The variable changes.
Fleisch ist lecker.|Meat is tasty.
Die Übung ist körperlich.|The exercise is physical.
Die Liste ist lang.|The list is long.
Ich träume oft.|I often dream.
Das Volumen ist groß.|The volume is large.
Er gibt die Wahrheit zu.|He admits the truth.
Ah, das ist schön!|Ah, that is nice!
Ein Drittel ist weg.|A third is gone.
Er akzeptiert die Entscheidung.|He accepts the decision.
Das ist endgültig.|That is final.
Die Liebe ist ewig.|Love is eternal.
Die Perspektive ist gut.|The perspective is good.
Das Restaurant ist teuer.|The restaurant is expensive.
Wir wandern gern.|We like to hike.
Die Tasche ist groß.|The bag is big.
Er nimmt sich vor zu lernen.|He plans to study.
Die Beamte arbeitet fleißig.|The official works diligently.
Er orientiert sich.|He orientates himself.
Das Buch ist schmal.|The book is narrow.
Der Streit ist vorbei.|The argument is over.
Der Film ist spannend.|The movie is thrilling.
Wohin gehst du?|Where are you going?
Das Dach ist rot.|The roof is red.
Ihre Karriere ist erfolgreich.|Her career is successful.
Die Regeln sind klar.|The rules are clear.
Das Kind raucht nicht.|The child does not smoke.
Er warnt vor der Gefahr.|He warns of the danger.
Der Himmel ist bunt.|The sky is colorful.
Die Falle ist leer.|The trap is empty.
Das Virus verbreitet sich schnell.|The virus spreads quickly.
Die Auswirkungen sind enorm.|The effects are enormous.
Sie helfen einander.|They help each other.
Weshalb fragst du?|Why are you asking?
Der Unterricht beginnt bald.|The classes start soon.
Das Bedürfnis ist groß.|The need is great.
Das Niveau ist hoch.|The level is high.
Meine Tante besucht uns.|My aunt visits us.
Die Prüfung war schwer.|The exam was difficult.
Er bringt das Buch mit.|He brings the book.
Das ist seltsam.|That is strange.
Das Gen ist mutiert.|The gene is mutated.
Er engagiert sich sehr.|He is very committed.
Mein Onkel ist Arzt.|My uncle is a doctor.
Soweit ich weiß, ja.|As far as I know, yes.
Er ist mächtig.|He is powerful.
Ausgerechnet heute regnet es.|Of all days, it rains today.
Er hat es zweimal gemacht.|He did it twice.
Die Störung war kurz.|The interruption was brief.
Die Aktion war erfolgreich.|The campaign was successful.
Er ist zwanzigjährig.|He is twenty years old.
Das Material ist künstlich.|The material is artificial.
Die Auseinandersetzung war heftig.|The argument was intense.
Er pflegt seinen Garten.|He tends to his garden.
Die Ausgabe ist hoch.|The expense is high.
Ich bin online.|I am online.
Er leitet die Formel ab.|He derives the formula.

Die Sonne leuchtet.|The sun shines.
Die Anlage ist groß.|The facility is large.
Das Unternehmen erweitert.|The company expands.
Es hat sich als wahr erwiesen.|It proved to be true.
Die Gesundheit ist wichtig.|Health is important.
Die Regel trifft zu.|The rule applies.
Das Stück wird aufgeführt.|The play is performed.
Der Kandidat ist nervös.|The candidate is nervous.
Er profitierte davon.|He profited from it.
Die Rechnung ist falsch.|The bill is incorrect.
Der Übergang ist gefährlich.|The crossing is dangerous.
Er fasst das Buch zusammen.|He summarizes the book.
Das hat mich beeindruckt.|That impressed me.
Er nimmt den Stuhl ein.|He takes the chair.
Das Loch ist tief.|The hole is deep.
Das Management ist gut.|The management is good.
Er schwimmt schnell.|He swims fast.
Die Erwartungen sind hoch.|The expectations are high.
Er beantwortet die Frage.|He answers the question.
Der Beweis ist klar.|The evidence is clear.
Der Weltkrieg war schrecklich.|The world war was terrible.
Die Aufgabe ist kompliziert.|The task is complicated.
Seine Stirn ist breit.|His forehead is wide.
Die Behandlung war erfolgreich.|The treatment was successful.
Der Zahn tut weh.|The tooth hurts.
Er spricht langsam aus.|He pronounces slowly.
Das Buch ist beliebt.|The book is popular.
Das Eis ist kalt.|The ice is cold.
Der Witz ist komisch.|The joke is funny.
Die Stadt ist westlich.|The city is west.
Die Arbeit ist geistig anspruchsvoll.|The work is intellectually demanding.
Die Länge beträgt zwei Meter.|The length is two meters.
Das ist unmöglich.|That is impossible.
Das Ergebnis ist optimal.|The result is optimal.
Das Wetter ist schön.|The weather is nice.
Er ergänzt den Satz.|He completes the sentence.
Wir lernen voneinander.|We learn from each other.
Er wählt das Kleid aus.|He selects the dress.
Er befragt den Zeugen.|He questions the witness.
Er rückt den Tisch.|He moves the table.
Der Anwalt ist hier.|The lawyer is here.
Das Haus ist dahinter.|The house is behind it.
Ihre Stärke ist bewundernswert.|Her strength is admirable.
Die Ironie ist offensichtlich.|The irony is obvious.
Das ist meine Ansicht.|That is my opinion.
Die AG ist erfolgreich.|The corporation is successful.
Er bildet die Schüler aus.|He trains the students.
Die Studie ist empirisch.|The study is empirical.
Die Kombination ist richtig.|The combination is correct.
Die Ermittlung dauert lange.|The investigation takes long.
Das Gedicht ist schön.|The poem is beautiful.
Wir unterhalten uns.|We chat.
Die Hochschule ist groß.|The university is large.
Die Umsetzung ist geplant.|The implementation is planned.
Sein Engagement ist stark.|His commitment is strong.
Der Lärm hat mich erschreckt.|The noise startled me.
Er erwirbt das Haus.|He acquires the house.
Das Wesen ist freundlich.|The creature is friendly.
Die Linien sind parallel.|The lines are parallel.
Hierbei passiert nichts.|Nothing happens on this occasion.
Das Schloss ist alt.|The castle is old.
Er steuert das Boot.|He steers the boat.
Das Wunder ist geschehen.|The miracle happened.
Der Abschluss ist nah.|The graduation is near.
Irgendwelche Fragen?|Any questions?
Das ist korrekt.|That is correct.
Die Vorsitzende spricht.|The chairperson speaks.
Er hat das Geheimnis verraten.|He revealed the secret.
Das Programm passt sich an.|The program adapts.
Die Maschine ist automatisch.|The machine is automatic.
Die Physik ist schwierig.|Physics is difficult.
Die Erkrankung ist ernst.|The disease is serious.
Das spanische Essen ist lecker.|The Spanish food is delicious.

Der Teilnehmer ist müde.|The participant is tired.
Die Veranstaltung war toll.|The event was great.
Wir haben viel vor.|We have a lot planned.
Er verbirgt ein Geheimnis.|He hides a secret.
Aha, das verstehe ich.|Aha, I see.
Er malt ein Bild.|He is painting a picture.
Die Post kommt spät.|The mail arrives late.
Die Seele ist ruhig.|The soul is calm.
Er übt jeden Tag.|He practices every day.
Der August ist heiß.|August is hot.
Der Knochen ist gebrochen.|The bone is broken.
Das Geräusch ist laut.|The noise is loud.
Die Gegenwart ist wichtig.|The present is important.
Das ist generell so.|That's generally the case.
Die Aminosäure ist wichtig.|The amino acid is important.
Das Marketing läuft gut.|The marketing is going well.
Das Phänomen ist selten.|The phenomenon is rare.
Der Russe spricht schnell.|The Russian speaks fast.
Die Brücke ist alt.|The bridge is old.
Der Stuhl steht daneben.|The chair is next to it.
Das Gewicht ist schwer.|The weight is heavy.
Das beruhigt mich.|That calms me.
Ansonsten geht es gut.|Otherwise, it's going well.
Er ist verrückt.|He is crazy.
Er versorgt die Familie.|He provides for the family.
Er lädt das Auto.|He loads the car.
Der Start ist erfolgreich.|The launch is successful.
Er wagt den Sprung.|He dares the jump.
Sie ist weiblich.|She is female.
Seitdem sind wir Freunde.|Since then, we are friends.
Die Treppe ist lang.|The stairs are long.
Die Decke ist hoch.|The ceiling is high.
Die Einstellung ist positiv.|The attitude is positive.
Er heiratet seine Liebe.|He marries his love.
Mittels eines Tricks gelang es.|By means of a trick, it succeeded.
Der Unfall war schlimm.|The accident was bad.
Der Bestandteil fehlt.|The component is missing.
Der Regen fällt stark.|The rain falls heavily.
Er entschuldigt sich.|He apologizes.
Der Fisch ist frisch.|The fish is fresh.
Die Medizin hilft.|The medicine helps.
Das Schicksal ist ungewiss.|Fate is uncertain.
Die Sonne geht auf.|The sun rises.
Das Video ist lustig.|The video is funny.
Er geht zu ihr.|He approaches her.
Der Wert ist durchschnittlich.|The value is average.
Der Strand ist schön.|The beach is beautiful.
Der Zins ist hoch.|The interest is high.
Er bewertet das Haus.|He assesses the house.
Bezüglich des Plans habe ich Fragen.|Regarding the plan, I have questions.
Das Buch begeistert mich.|The book inspires me.
Die Ladung ist schwer.|The load is heavy.
Er ist äußerst nett.|He is extremely nice.
Die Geschichte ist lustig.|The story is funny.
Das Potenzial ist groß.|The potential is great.
Der Dichter schreibt gut.|The poet writes well.
Die Religion ist wichtig.|The religion is important.
Er ist religiös.|He is religious.
Das Baby ist nackt.|The baby is naked.
Die Ware ist teuer.|The goods are expensive.
Er ist beruflich erfolgreich.|He is professionally successful.
Das Geschäft ist lokal.|The shop is local.
Der Standard ist hoch.|The standard is high.
Der Kanzler spricht.|The chancellor speaks.
Mach es nochmal.|Do it again.
Der Zucker löst sich auf.|The sugar dissolves.
Die Nachricht regt auf.|The news upsets.
Die Abhängigkeit ist problematisch.|The dependence is problematic.
Die Einrichtung ist modern.|The institution is modern.
Die Staaten vereinigen sich.|The states unite.
Wir vereinbaren ein Treffen.|We agree on a meeting.
Wir verschieben den Termin.|We postpone the appointment.
Die Maßnahme bewirkt viel.|The measure causes a lot.
Das Bundesland ist groß.|The state is large.
Das erleichtert die Arbeit.|That makes the work easier.
Die Institution ist alt.|The institution is old.
Das ist rechtlich erlaubt.|That is legally allowed.
Das Viertel ist ruhig.|The district is quiet.
Die Dimension ist groß.|The dimension is large.
Das Ei ist gekocht.|The egg is boiled.
Ich bin müde.|I am tired.
Er spart Geld.|He saves money.
Das ist quasi sicher.|That is almost certain.
Der Kaffee ist Wiener Art.|The coffee is Viennese style.
Das ist blöd.|That is stupid.
Er studiert Soziologie.|He studies sociology.
Er ist tätig.|He is active.
Afghanistan ist schön.|Afghanistan is beautiful.
Die Flucht war gefährlich.|The escape was dangerous.
Das ist nicht abzusehen.|That is not foreseeable.
Afrika ist groß.|Africa is large.
Das Gebiet ist regional.|The area is regional.
Der Plan ist strategisch.|The plan is strategic.
Das ist exakt.|That is exact.
Er setzt die Arbeit fort.|He continues the work.
Er steigert die Produktion.|He increases the production.
Die Übersetzung ist korrekt.|The translation is correct.
Womöglich kommt er später.|Possibly, he will come later.
Das Argument war stark.|The argument was strong.
Er berührt die Blume.|He touches the flower.
Das Kino ist geschlossen.|The cinema is closed.
Die Dauer der Reise ist lang.|The duration of the journey is long.
Alles hat gut geklappt.|Everything went smoothly.
Polen ist ein schönes Land.|Poland is a beautiful country.
Der Ring ist golden.|The ring is golden.
Das klärt das Problem.|That resolves the problem.
Das Zimmer ist sauber.|The room is clean.
Der Bahnhof ist weit weg.|The station is far away.
Die Bewertung ist positiv.|The evaluation is positive.
Die Messung ist genau.|The measurement is precise.
Das Gebäude ist gewaltig.|The building is enormous.
Das Thema ist relevant.|The topic is relevant.
Israel liegt im Nahen Osten.|Israel is in the Middle East.
Ihre Lippe blutet.|Her lip is bleeding.
Die BRD wurde 1949 gegründet.|The Federal Republic of Germany was founded in 1949.
Sein Charakter ist stark.|His character is strong.
Er tritt die Reise an.|He starts the journey.
Die Lehre war wichtig.|The lesson was important.
Pass auf den Verkehr auf.|Watch out for the traffic.
Die Verletzung ist schwer.|The injury is severe.
Die CSU ist konservativ.|The CSU is conservative.
Der Direktor ist freundlich.|The director is friendly.
Der Film hat enttäuscht.|The movie disappointed.
Er fängt den Ball.|He catches the ball.
Eine Träne rollt runter.|A tear rolls down.
Damals war alles anders.|At that time, everything was different.
Dreißig Menschen kamen.|Thirty people came.
Das Problem ist mathematisch.|The problem is mathematical.
Es ist deine Pflicht.|It is your duty.
Er realisiert seinen Traum.|He realizes his dream.
Wir richten die Wohnung ein.|We furnish the apartment.
Der Käufer ist zufrieden.|The buyer is satisfied.
Das Rennen beginnt bald.|The race starts soon.
Der Täter ist gefasst.|The perpetrator is caught.
Der Held befreit die Geisel.|The hero frees the hostage.
Er ordnet die Bücher.|He arranges the books.
Die Bezeichnung ist korrekt.|The term is correct.
Er verteidigt seine Meinung.|He defends his opinion.
Der Anlass ist unklar.|The cause is unclear.
Das Thema ist medial präsent.|The topic is present in the media.
Er ist hauptsächlich beschäftigt.|He is mainly busy.
Der Hersteller ist bekannt.|The manufacturer is well-known.
Normalerweise läuft es gut.|Usually, it goes well.
Das Motiv ist unklar.|The motive is unclear.
Die Auswahl ist groß.|The selection is large.
Er markiert den Text.|He marks the text.
Mehrfach gewann er Preise.|He won several awards.
Sein Rang ist hoch.|His status is high.
Er rennt sehr schnell.|He runs very fast.
Ich finde es heraus.|I find it out.
Die Aufgabe ist nahezu fertig.|The task is almost finished.
Er benennt das Problem.|He names the problem.
Die Schrift ist alt.|The script is old.
Die Silbe ist betont.|The syllable is stressed.
Der Anstieg ist steil.|The rise is steep.
Die Kurve ist eng.|The curve is tight.
Sein Auftritt war beeindruckend.|His appearance was impressive.
